X Y |E| dxE dyE 
0 0 10 0 10
0 1 4.98424 -4.98424 0
0 2 2.99192 -2.99192 0
0 3 2.04645 -2.04645 0
0 4 1.52149 -1.52149 0
0 5 1.19156 -1.19156 0
0 6 0.964069 -0.964069 0
0 7 0.795975 -0.795975 0
0 8 0.664979 -0.664979 0
0 9 0.558425 -0.558425 0
0 10 0.468551 -0.468551 0
0 11 0.39028 -0.39028 0
0 12 0.320121 -0.320121 0
0 13 0.255658 -0.255658 0
0 14 0.195435 -0.195435 0
0 15 0.139198 -0.139198 0
0 16 0.0885155 -0.0885155 0
0 17 0.0473855 -0.0473855 0
0 18 0.0210574 -0.0210574 0
0 19 0.00897169 -0.00897169 0
0 20 0.00436577 -0.00436577 0
0 21 0.0034812 -0.0034812 0
0 22 0.00434762 -0.00434762 0
0 23 0.00573771 -0.00573771 0
0 24 0.00699528 -0.00699528 0
0 25 0.00785366 -0.00785366 0
0 26 0.00826689 -0.00826689 0
0 27 0.00829098 -0.00829098 0
0 28 0.00801472 -0.00801472 0
0 29 0.0075256 -0.0075256 0
0 30 0.00689627 -0.00689627 0
0 31 0.00618161 -0.00618161 0
0 32 0.00542029 -0.00542029 0
0 33 0.00463797 -0.00463797 0
0 34 0.00385046 -0.00385046 0
0 35 0.0030665 -0.0030665 0
0 36 0.00228994 -0.00228994 0
0 37 0.00152128 -0.00152128 0
0 38 0.000758918 -0.000758918 0
0 39 0 0 0
1 0 5.01576 0 5.01576
1 1 2.79538 -1.96081 1.99232
1 2 2.16268 -1.94506 0.945467
1 3 1.7086 -1.62595 0.524965
1 4 1.36687 -1.32645 0.329929
1 5 1.11262 -1.08912 0.227489
1 6 0.920157 -0.904673 0.168093
1 7 0.770101 -0.758878 0.130996
1 8 0.649341 -0.640538 0.106555
1 9 0.549147 -0.541743 0.0898734
1 10 0.463604 -0.456949 0.078271
1 11 0.388555 -0.382169 0.0701594
1 12 0.320964 -0.314424 0.0644625
1 13 0.258532 -0.25142 0.0602236
1 14 0.199537 -0.191448 0.0562367
1 15 0.142932 -0.133644 0.0506826
1 16 0.0890328 -0.078963 0.0411301
1 17 0.0418909 -0.0325834 0.026328
1 18 0.0138748 -0.00681507 0.0120857
1 19 0.00484151 -0.0014919 0.00460592
1 20 0.00109441 -0.000644422 0.00088457
1 21 0.00193502 -0.00173021 -0.00086642
1 22 0.00406878 -0.00382395 -0.00139009
1 23 0.00600342 -0.00587022 -0.00125757
1 24 0.00744413 -0.00739447 -0.00085838
1 25 0.00830909 -0.0082988 -0.000413234
1 26 0.00865607 -0.00865604 -2.40866e-05
1 27 0.00859577 -0.00859133 0.000276261
1 28 0.00824211 -0.00822758 0.000489123
1 29 0.00769159 -0.0076658 0.000629323
1 30 0.00701809 -0.00698161 0.000714663
1 31 0.00627462 -0.00622826 0.000761316
1 32 0.00549725 -0.0054413 0.000782324
1 33 0.00470947 -0.00464316 0.000787512
1 34 0.00392597 -0.0038469 0.000783953
1 35 0.00315615 -0.00305912 0.000776567
1 36 0.00240801 -0.00228203 0.00076866
1 37 0.00169598 -0.00151498 0.000762359
1 38 0.00107084 -0.000755478 0.000758918
1 39 0 0 0
2 0 3.05494 0 3.05494
2 1 2.20628 -0.913949 2.00808
2 2 1.7444 -1.20157 1.26458
2 3 1.44428 -1.18584 0.824465
2 4 1.21041 -1.06925 0.567263
2 5 1.02061 -0.933788 0.411934
2 6 0.865548 -0.806627 0.313888
2 7 0.737737 -0.694326 0.249336
2 8 0.630907 -0.596553 0.20535
2 9 0.540086 -0.511061 0.174668
2 10 0.461453 -0.435332 0.153051
2 11 0.392074 -0.367022 0.137904
2 12 0.32963 -0.303987 0.127467
2 13 0.27213 -0.244148 0.120195
2 14 0.217575 -0.185294 0.114041
2 15 0.163457 -0.124967 0.105364
2 16 0.106734 -0.061109 0.0875096
2 17 0.0521732 0.00282978 0.0520964
2 18 0.0328625 0.0278725 0.0174089
2 19 0.0117994 0.0104636 0.00545339
2 20 0.00501423 0.00501019 -0.000201221
2 21 0.00313382 0.00102873 -0.00296016
2 22 0.0047975 -0.00334776 -0.00343636
2 23 0.00709303 -0.00652476 -0.00278182
2 24 0.00859624 -0.00841358 -0.00176271
2 25 0.00932294 -0.00929105 -0.00077047
2 26 0.00946722 -0.00946714 4.06269e-05
2 27 0.00921296 -0.00919071 0.000640007
2 28 0.00870217 -0.00863848 0.00105091
2 29 0.00803647 -0.0079284 0.00131351
2 30 0.00728555 -0.00713612 0.00146801
2 31 0.00649575 -0.00630853 0.00154828
2 32 0.00569711 -0.00547349 0.00158047
2 33 0.00490896 -0.00464646 0.00158377
