X Y |E| dxE dyE 
0 0 10 10 0
0 1 5.0025 5.0025 0
0 2 3.02848 3.02848 0
0 3 2.10139 2.10139 0
0 4 1.59495 1.59495 0
0 5 1.28374 1.28374 0
0 6 1.07526 1.07526 0
0 7 0.926572 0.926572 0
0 8 0.815519 0.815519 0
0 9 0.729632 0.729632 0
0 10 0.661383 0.661383 0
0 11 0.605969 0.605969 0
0 12 0.560183 0.560183 0
0 13 0.521803 0.521803 0
0 14 0.48924 0.48924 0
0 15 0.461329 0.461329 0
0 16 0.437195 0.437195 0
0 17 0.416171 0.416171 0
0 18 0.397735 0.397735 0
0 19 0.381478 0.381478 0
0 20 0.36707 0.36707 0
0 21 0.354247 0.354247 0
0 22 0.342791 0.342791 0
0 23 0.332521 0.332521 0
0 24 0.32329 0.32329 0
0 25 0.31497 0.31497 0
0 26 0.307457 0.307457 0
0 27 0.30066 0.30066 0
0 28 0.294503 0.294503 0
0 29 0.288918 0.288918 0
0 30 0.283849 0.283849 0
0 31 0.279246 0.279246 0
0 32 0.275067 0.275067 0
0 33 0.271273 0.271273 0
0 34 0.267831 0.267831 0
0 35 0.264714 0.264714 0
0 36 0.261895 0.261895 0
0 37 0.259353 0.259353 0
0 38 0.257068 0.257068 0
0 39 0.255022 0.255022 0
0 40 0.253202 0.253202 0
0 41 0.251595 0.251595 0
0 42 0.250188 0.250188 0
0 43 0.248973 0.248973 0
0 44 0.247942 0.247942 0
0 45 0.247087 0.247087 0
0 46 0.246403 0.246403 0
0 47 0.245886 0.245886 0
0 48 0.245533 0.245533 0
0 49 0.245341 0.245341 0
0 50 0.24531 0.24531 0
0 51 0.245439 0.245439 0
0 52 0.245731 0.245731 0
0 53 0.246186 0.246186 0
0 54 0.246809 0.246809 0
0 55 0.247604 0.247604 0
0 56 0.248577 0.248577 0
0 57 0.249734 0.249734 0
0 58 0.251084 0.251084 0
0 59 0.252637 0.252637 0
0 60 0.254403 0.254403 0
0 61 0.256397 0.256397 0
0 62 0.258632 0.258632 0
